WristbandId,WristbandName,ExaminedAt,SyncedAt,UploadedAt,DataType,CollectionType,Val1,Val2
26,"Health C-20C","2018-08-31 23:35:00","2018-09-01 00:04:17","2018-09-01 00:04:29",STEPS,Scheduled,201,0
26,"Health C-20C","2018-08-31 23:25:00","2018-08-31 23:35:07","2018-08-31 23:35:23",STEPS,Scheduled,231,0
26,"Health C-20C","2018-08-31 23:20:00","2018-08-31 23:35:07","2018-08-31 23:35:23",STEPS,Scheduled,296,0
26,"Health C-20C","2018-08-31 23:15:00","2018-08-31 23:35:07","2018-08-31 23:35:23",STEPS,Scheduled,152,0
26,"Health C-20C","2018-08-31 23:10:00","2018-08-31 23:35:07","2018-08-31 23:35:23",STEPS,Scheduled,116,0
26,"Health C-20C","2018-08-31 23:05:00","2018-08-31 23:35:07","2018-08-31 23:35:23",STEPS,Scheduled,332,0
26,"Health C-20C","2018-08-31 23:01:00","2018-08-31 23:06:00","2018-08-31 23:06:05",STEPS,Scheduled,115,0
26,"Health C-20C","2018-08-31 22:11:00","2018-08-31 22:36:11","2018-08-31 22:36:16",STEPS,Scheduled,205,0
26,"Health C-20C","2018-08-31 22:06:00","2018-08-31 22:36:11","2018-08-31 22:36:16",STEPS,Scheduled,175,0
26,"Health C-20C","2018-08-31 22:02:00","2018-08-31 22:06:41","2018-08-31 22:06:49",STEPS,Scheduled,207,0
26,"Health C-20C","2018-08-31 21:57:00","2018-08-31 22:06:41","2018-08-31 22:06:49",STEPS,Scheduled,138,0
26,"Health C-20C","2018-08-31 21:52:00","2018-08-31 22:06:41","2018-08-31 22:06:49",STEPS,Scheduled,97,0
26,"Health C-20C","2018-08-31 21:47:00","2018-08-31 22:06:41","2018-08-31 22:06:49",STEPS,Scheduled,130,0
26,"Health C-20C","2018-08-31 21:42:00","2018-08-31 22:06:41","2018-08-31 22:06:49",STEPS,Scheduled,375,0
26,"Health C-20C","2018-08-31 21:37:00","2018-08-31 22:06:41","2018-08-31 22:06:49",STEPS,Scheduled,17,0
26,"Health C-20C","2018-08-31 21:04:00","2018-08-31 21:16:28","2018-08-31 21:16:33",STEPS,Scheduled,11,0
26,"Health C-20C","2018-08-31 20:59:00","2018-08-31 21:16:28","2018-08-31 21:16:33",STEPS,Scheduled,16,0
26,"Health C-20C","2018-08-31 20:29:00","2018-08-31 20:34:20","2018-08-31 20:34:27",STEPS,Scheduled,32,0
26,"Health C-20C","2018-08-31 20:24:00","2018-08-31 20:34:20","2018-08-31 20:34:27",STEPS,Scheduled,395,0
26,"Health C-20C","2018-08-31 20:19:00","2018-08-31 20:34:20","2018-08-31 20:34:27",STEPS,Scheduled,291,0
26,"Health C-20C","2018-08-31 20:14:00","2018-08-31 20:34:20","2018-08-31 20:34:27",STEPS,Scheduled,36,0
26,"Health C-20C","2018-08-31 20:09:00","2018-08-31 20:34:20","2018-08-31 20:34:27",STEPS,Scheduled,27,0
26,"Health C-20C","2018-08-31 18:57:00","2018-08-31 19:18:24","2018-08-31 19:18:30",STEPS,Scheduled,88,0
26,"Health C-20C","2018-08-31 18:44:00","2018-08-31 18:57:56","2018-08-31 18:58:01",STEPS,Scheduled,34,0
26,"Health C-20C","2018-08-31 18:39:00","2018-08-31 18:57:56","2018-08-31 18:58:01",STEPS,Scheduled,62,0
26,"Health C-20C","2018-08-31 17:32:00","2018-08-31 17:53:33","2018-08-31 17:53:38",STEPS,Scheduled,77,0
26,"Health C-20C","2018-08-31 17:25:00","2018-08-31 17:32:46","2018-08-31 17:32:53",STEPS,Scheduled,104,0
